"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
1000545,"     C/1983 J1 (Sugano-Saigusa-Fujikawa)","1983 J1",Sugano-Saigusa-Fujikawa,C,,,0,,,12.2,,15.5,,,,,,,,,,,,,,,"JPL 19",2445469.5,45469,1983-05-15.0,J2000,0.9999,4785,0.471,96.62,83.04,82.17,0.00,9569.34,2.978e-06,2445455.83,1983-05-01.3,1.21e+08,3.31e+05,0.0486,18.9,3.35,-0.097,1.1e-05,5.2e+02,4.4e-06,3.9e-04,2.4e-04,9.6e-04,6.6e-06,1.0e+03,4.8e-07,2.5e-04,2.0e+07,COM,"Otto Matic",39,1983-05-09,1983-06-17,55,0,3,,.81865,,,,,,,,,
1001193,"     C/1983 J2 (IRAS)","1983 J2",IRAS,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 2",2445484.5,45484,1983-05-30.0,J2000,0.9947,268.1,1.417,152.17,119.69,227.02,0.03,534.80,0.0002245,2445353.15,1983-01-18.6,1.6e+06,4.39e+03,0.514,200,0.688,-1.28,1.5e-02,7.8e+02,4.0e-03,5.2e-02,9.7e-02,5.1e-01,1.3e-01,1.6e+03,9.8e-04,7.9e-01,7.0e+06,COM,"Otto Matic",25,1983-05-18,1983-06-12,7,,,,.69635,T,,,,,,,,
1001194,"     C/1983 N1 (IRAS)","1983 N1",IRAS,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 2",2445694.5,45694,1983-12-26.0,J2000,0.9994,3836,2.418,138.83,171.80,265.59,0.00,7669.31,4.149e-06,2445457.20,1983-05-02.7,8.68e+07,2.38e+05,1.78,691,0.00265,-1.45,8.4e-05,5.1e+02,1.5e-04,7.8e-04,3.9e-04,4.3e-03,2.0e-04,1.0e+03,8.3e-07,4.7e-03,1.7e+07,COM,"Otto Matic",297,1983-07-14,1984-05-06,19,,,,.52875,,,,,,,,,
1001680,"     C/1983 N2 (SOLWIND)","1983 N2",SOLWIND,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2445523.4,45523,1983-07-07.8,J2000,1.0000,,0.005,142.23,359.55,81.43,,,,2445523.39,1983-07-07.8,,,,,,,,,,,,,,,,,,PAR,,0,1983-07-07,1983-07-07,15,,,,,T,,,,,,,,
1000546,"     C/1983 O1 (Cernis)","1983 O1",Cernis,C,,,0,,,5.2,9.3,6.25,5.,0.03,,,,,,,,,,,,,"JPL 5",2445833.5,45833,1984-05-13.0,J2000,1.0015,-2174,3.318,134.70,209.58,186.21,0.00,,9.726e-06,2445536.69,1983-07-21.1,,,2.33,905,1.64,,1.3e-05,1.8e+01,1.3e-05,9.7e-05,8.3e-05,5.2e-04,3.6e-05,,1.2e-07,2.1e-03,,HYP,"Otto Matic",2854,1983-07-21,1991-05-14,229,,,,.59247,,,,,,,,,
1001195,"     C/1983 O2 (IRAS)","1983 O2",IRAS,C,,,0,,,9.4,12.5,10.75,5.,0.03,,,,,,,,,,,,,"JPL 2",2445755.5,45755,1984-02-25.0,J2000,1.0001,-1.737e+04,2.255,120.74,201.26,333.98,0.00,,4.304e-07,2445666.50,1983-11-28.0,,,1.31,511,2.98,,4.8e-05,6.5e+03,2.4e-05,3.2e-04,1.6e-04,1.5e-03,2.1e-05,,2.4e-07,3.9e-03,,HYP,"Otto Matic",306,1983-08-04,1984-06-05,35,,,,.70105,,,,,,,,,
1001196,"     C/1983 R1 (Shoemaker)","1983 R1",Shoemaker,C,,,0,,,5.8,,10.,,,,,,,,,,,,,,,"JPL 2",2445673.5,45673,1983-12-05.0,J2000,1.0002,-1.679e+04,3.345,137.60,164.68,176.04,0.00,,4.531e-07,2445662.30,1983-11-23.7,,,2.34,910,1.64,,4.1e-05,3.5e+03,1.9e-05,1.7e-04,1.1e-04,6.0e-04,1.6e-06,,1.4e-07,2.9e-03,,HYP,"Otto Matic",624,1983-09-07,1985-05-23,117,,,,.66051,,,,,,,,,
1001197,"     C/1983 S2 (SOLWIND)","1983 S2",SOLWIND,C,,,0,,,,,,,,,,,,,,,,,,,,SAO_2008,2445602.7,45602,1983-09-25.1,J2000,1.0000,,0.008,143.99,358.68,78.58,,,,2445602.69,1983-09-25.1,,,,,,,,,,,,,,,,,,PAR,,1,1983-09-24,1983-09-25,,,,,,T,,,,,,,,
1000007,"     C/1984 A1 (Bradfield 1)","1984 A1",Bradfield,C,,,0,,,,,,,,,,,,,,,,,,,,"JPL 6",2445755.5,45755,1984-02-25.0,J2000,0.9523,28.47,1.357,51.80,356.86,219.16,0.38,55.58,0.006489,2445696.30,1983-12-27.7,5.55e+04,152,0.479,186,1.27,1.06,3.5e-04,2.1e-01,1.5e-04,3.3e-04,4.6e-03,9.4e-03,4.4e-03,4.2e-01,7.3e-05,1.0e-02,6.3e+02,HTC,"Otto Matic",142,1984-01-09,1984-05-30,33,,,6,.5162,,,,,,,,,
1001198,"     C/1984 K1 (Shoemaker)","1984 K1",Shoemaker,C,,,0,,,5.6,10.5,8.25,5.,0.03,,,,,,,,,,,,,"JPL 2",2446470.5,46470,1986-02-09.0,J2000,1.0007,-3731,2.697,116.67,49.69,235.47,0.00,,4.325e-06,2446313.09,1985-09-04.5,,,1.98,772,1.68,,4.8e-06,2.5e+01,2.7e-06,1.0e-04,7.2e-05,9.9e-05,6.8e-06,,4.3e-08,5.7e-04,,HYP,"Otto Matic",2779,1984-05-27,1992-01-05,176,,,,.60346,,,,,,,,,
